open_time	open	high	low	close	volume	close_time	quote_asset_volume	number_of_trades	taker_buy_base_asset_volume	taker_buy_quote_asset_volume
2026-01-01 00:00:00	125.54	125.7	125.3	125.35	86982.41	2026-01-01 00:04:59	10917984.1661	8456.0	43286.94	5434283.1447
2026-01-01 00:05:00	125.35	125.42	125.16	125.21	124945.39	2026-01-01 00:09:59	15660660.067	8159.0	68964.28	8646606.9951
2026-01-01 00:10:00	125.21	125.35	125.2	125.28	36960.73	2026-01-01 00:14:59	4630569.9326	4785.0	17899.54	2242601.434
2026-01-01 00:15:00	125.28	125.65	125.21	125.46	143712.37	2026-01-01 00:19:59	18031897.6876	8970.0	113261.53	14210363.5881
2026-01-01 00:20:00	125.46	125.63	125.15	125.21	49540.3	2026-01-01 00:24:59	6211204.488	7153.0	18675.64	2341908.302
2026-01-01 00:25:00	125.21	125.41	125.08	125.3	55272.88	2026-01-01 00:29:59	6922801.0238	6795.0	33067.26	4141789.3367
2026-01-01 00:30:00	125.3	125.3	125.08	125.13	54967.48	2026-01-01 00:34:59	6881279.6885	7045.0	30872.21	3864703.714
2026-01-01 00:35:00	125.13	125.18	124.97	125.13	78502.98	2026-01-01 00:39:59	9818111.8301	7826.0	33799.15	4227447.638
2026-01-01 00:40:00	125.14	125.14	124.24	124.51	412981.91	2026-01-01 00:44:59	51437565.8524	28504.0	177870.3	22150159.2382
2026-01-01 00:45:00	124.51	124.65	124.35	124.58	128317.97	2026-01-01 00:49:59	15978468.1536	12483.0	71755.56	8935147.9902
2026-01-01 00:50:00	124.57	124.9	124.54	124.74	79707.62	2026-01-01 00:54:59	9942789.9188	8595.0	48287.5	6023256.5576
2026-01-01 00:55:00	124.73	124.85	124.69	124.78	49559.44	2026-01-01 00:59:59	6184050.3546	5473.0	26858.94	3351522.2239
2026-01-01 01:00:00	124.77	124.87	124.66	124.78	61451.3	2026-01-01 01:04:59	7666423.8424	8144.0	39564.18	4935856.271
2026-01-01 01:05:00	124.77	124.88	124.57	124.59	48437.07	2026-01-01 01:09:59	6040409.8413	5956.0	22777.16	2840539.1148
2026-01-01 01:10:00	124.58	124.63	124.52	124.6	31574.6	2026-01-01 01:14:59	3934236.6572	4577.0	18990.86	2366347.6343
2026-01-01 01:15:00	124.6	125.0	124.51	125.0	89231.16	2026-01-01 01:19:59	11132726.6404	8056.0	55503.86	6925806.85
2026-01-01 01:20:00	125.0	125.08	124.86	124.86	68181.42	2026-01-01 01:24:59	8522099.9339	6655.0	31860.72	3982725.0068
2026-01-01 01:25:00	124.86	125.21	124.86	124.94	64741.57	2026-01-01 01:29:59	8096136.04	6707.0	37301.52	4664277.2106
2026-01-01 01:30:00	124.95	125.05	124.88	124.92	30964.82	2026-01-01 01:34:59	3869099.2352	4003.0	16140.79	2016845.8468
2026-01-01 01:35:00	124.92	124.94	124.57	124.61	51520.89	2026-01-01 01:39:59	6426010.887	5729.0	21081.31	2629412.8464
2026-01-01 01:40:00	124.62	124.9	124.53	124.78	54639.48	2026-01-01 01:44:59	6812482.7388	6041.0	32123.36	4005586.6898
2026-01-01 01:45:00	124.78	124.94	124.69	124.87	26330.2	2026-01-01 01:49:59	3286522.9611	3847.0	16247.66	2027950.4229
2026-01-01 01:50:00	124.87	124.96	124.79	124.93	29654.87	2026-01-01 01:54:59	3703424.384	4025.0	17270.59	2156899.2646
2026-01-01 01:55:00	124.93	125.02	124.81	124.98	43491.47	2026-01-01 01:59:59	5431362.1463	3990.0	20156.4	2517306.7725
2026-01-01 02:00:00	124.98	125.1	124.82	125.09	50006.31	2026-01-01 02:04:59	6250705.1612	5316.0	34353.33	4294392.8711
2026-01-01 02:05:00	125.09	125.42	125.04	125.27	90613.92	2026-01-01 02:09:59	11351338.4871	8464.0	48442.81	6068544.8242
2026-01-01 02:10:00	125.28	125.46	125.13	125.24	82182.36	2026-01-01 02:14:59	10296640.6357	7350.0	45779.97	5735964.7303
2026-01-01 02:15:00	125.23	125.36	125.17	125.26	45429.62	2026-01-01 02:19:59	5690301.2057	4409.0	21521.96	2695909.2356
2026-01-01 02:20:00	125.26	125.46	125.22	125.43	66239.12	2026-01-01 02:24:59	8300494.8014	4691.0	43421.7	5440679.3593
2026-01-01 02:25:00	125.42	125.43	125.33	125.36	19383.23	2026-01-01 02:29:59	2430142.8537	3022.0	10234.31	1283157.1905
2026-01-01 02:30:00	125.36	125.37	125.17	125.2	21255.96	2026-01-01 02:34:59	2663045.9774	3254.0	9614.19	1204698.2739
2026-01-01 02:35:00	125.19	125.31	125.0	125.03	51683.52	2026-01-01 02:39:59	6466048.4919	4341.0	19668.52	2460668.9456
2026-01-01 02:40:00	125.04	125.16	124.98	125.16	44529.17	2026-01-01 02:44:59	5568728.3797	4396.0	19722.94	2466608.6091
2026-01-01 02:45:00	125.15	125.18	124.64	124.66	111201.4	2026-01-01 02:49:59	13878426.7193	8155.0	32602.25	4068045.8989
2026-01-01 02:50:00	124.66	124.72	124.54	124.72	52374.63	2026-01-01 02:54:59	6527358.2745	4670.0	33680.42	4197744.7232
2026-01-01 02:55:00	124.71	124.78	124.69	124.69	26552.04	2026-01-01 02:59:59	3311945.594	2642.0	12569.25	1567742.7141
2026-01-01 03:00:00	124.7	124.96	124.68	124.91	48378.35	2026-01-01 03:04:59	6040323.5078	4746.0	32727.55	4086175.6301
2026-01-01 03:05:00	124.91	125.12	124.88	125.06	47917.87	2026-01-01 03:09:59	5989319.3792	4140.0	30230.19	3778366.8948
2026-01-01 03:10:00	125.06	125.15	124.89	124.94	50386.03	2026-01-01 03:14:59	6299441.1732	4594.0	20311.05	2539580.2451
2026-01-01 03:15:00	124.94	124.97	124.84	124.94	33615.91	2026-01-01 03:19:59	4198816.9052	2879.0	11330.77	1415351.7026
2026-01-01 03:20:00	124.95	125.05	124.76	124.89	37636.77	2026-01-01 03:24:59	4700100.9399	3632.0	12159.42	1518579.2536
2026-01-01 03:25:00	124.88	124.92	124.71	124.86	37153.5	2026-01-01 03:29:59	4638237.6222	3655.0	25525.94	3186881.4464
2026-01-01 03:30:00	124.86	124.88	124.72	124.72	24455.44	2026-01-01 03:34:59	3052266.4696	2805.0	10063.64	1256060.8916
2026-01-01 03:35:00	124.72	124.76	124.63	124.66	19806.68	2026-01-01 03:39:59	2469908.4044	2778.0	8539.64	1064888.7837
2026-01-01 03:40:00	124.66	124.76	124.53	124.56	26043.81	2026-01-01 03:44:59	3245905.5039	3461.0	11459.35	1428379.8628
2026-01-01 03:45:00	124.56	124.61	124.44	124.55	36493.38	2026-01-01 03:49:59	4544639.2039	3803.0	18600.86	2316511.151
2026-01-01 03:50:00	124.55	124.57	124.43	124.46	20705.68	2026-01-01 03:54:59	2577599.6219	2336.0	10051.01	1251344.1023
2026-01-01 03:55:00	124.47	124.55	124.27	124.3	82371.9	2026-01-01 03:59:59	10247825.346	6638.0	21281.64	2649209.4355
2026-01-01 04:00:00	124.31	124.49	124.17	124.25	140096.87	2026-01-01 04:04:59	17419524.932	10177.0	82069.29	10206083.996
2026-01-01 04:05:00	124.25	124.3	124.1	124.18	73027.04	2026-01-01 04:09:59	9068397.2688	6378.0	34716.99	4311366.4254
2026-01-01 04:10:00	124.18	124.21	124.05	124.15	65545.79	2026-01-01 04:14:59	8136045.4342	5927.0	30879.7	3833418.4545
2026-01-01 04:15:00	124.16	124.21	124.1	124.13	41581.57	2026-01-01 04:19:59	5162708.3888	4195.0	22581.02	2803701.0826
2026-01-01 04:20:00	124.12	124.17	123.86	124.15	117075.17	2026-01-01 04:24:59	14516453.8842	9222.0	49914.03	6189822.7579
2026-01-01 04:25:00	124.16	124.95	124.01	124.3	399888.67	2026-01-01 04:29:59	49769289.1392	30248.0	218584.52	27208182.8799
2026-01-01 04:30:00	124.29	124.64	123.42	123.64	416260.8	2026-01-01 04:34:59	51577468.688	31349.0	163471.54	20263025.6962
2026-01-01 04:35:00	123.64	123.86	123.51	123.68	172825.88	2026-01-01 04:39:59	21374055.3583	13422.0	67971.34	8406990.1844
2026-01-01 04:40:00	123.67	123.81	123.54	123.7	98225.08	2026-01-01 04:44:59	12145330.5914	9179.0	39186.29	4845686.5891
2026-01-01 04:45:00	123.71	123.76	123.54	123.62	57667.98	2026-01-01 04:49:59	7131526.4946	6075.0	26136.02	3232310.0054
2026-01-01 04:50:00	123.62	123.95	123.57	123.87	57356.91	2026-01-01 04:54:59	7098081.9295	7173.0	28069.19	3473451.9423
2026-01-01 04:55:00	123.87	124.37	123.84	124.14	166376.57	2026-01-01 04:59:59	20657891.6205	12503.0	99749.18	12384121.8792
2026-01-01 05:00:00	124.14	124.36	124.1	124.13	100960.89	2026-01-01 05:04:59	12540081.1555	7824.0	42166.12	5237427.8218
2026-01-01 05:05:00	124.13	124.4	124.11	124.2	72350.34	2026-01-01 05:09:59	8990008.9572	6785.0	39456.99	4902963.9211
2026-01-01 05:10:00	124.2	124.21	124.03	124.12	37167.33	2026-01-01 05:14:59	4612773.9706	3916.0	19815.45	2459223.3655
2026-01-01 05:15:00	124.13	124.29	124.07	124.24	42134.2	2026-01-01 05:19:59	5232428.006	4565.0	25010.45	3106177.5839
2026-01-01 05:20:00	124.25	124.26	124.18	124.2	11705.12	2026-01-01 05:24:59	1454061.614	2263.0	6158.63	765084.9305
2026-01-01 05:25:00	124.2	124.24	124.01	124.03	30434.59	2026-01-01 05:29:59	3776966.614	3303.0	13574.21	1684577.0927
2026-01-01 05:30:00	124.04	124.05	123.94	124.02	36371.01	2026-01-01 05:34:59	4509767.3782	4105.0	16409.21	2034614.589
2026-01-01 05:35:00	124.02	124.38	124.0	124.37	37676.46	2026-01-01 05:39:59	4676170.4998	4452.0	25675.35	3186766.8076
